المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
inflectional ending/suffix	désinence flexionnelle	لاحقة تصريفية  (علامة إعراب أو غيره)
inflextion/inflexion	inflexion	تصريف  إمالة
inflexible	indéclinable	مبني
informant	informateur ;informant	مورد
informatics	informatique(l’)	الإعلاميات  (أو المعلوماتية)
information	information	معلومات
information content	contenu de l’information	المضمون  المحتوى
information processing	trraitement de l’information	معالجة المعلومات
information theory	théorie de l’information	نظرية المعلومات
informém	informéme	فائدة (وحدة الإفادة)
infra-word	intra-mot	داخل الكلمة
ingressive stop	- occlusive ingressive (injective) -occlusive inspiratoire	-صامت داخلي - صامت شهيقي
inhalation	inhalation ;inspiration	شهيق
initial glide	glissement initial	صوت انتقالي من الأول
initial mutation	mutation à l’initiale	تحول في الأول
initial position	position initiale	الأول (مقابل الآخر)  الصدر
initial stress	accent (primaire ) à l’initial du mot	نبر في أول الكلمة
initial teaching alphabet	alphabet quasi-phonétique	ألفبائية تعليمية
injunctive	injonctif	أمر ونهي
inlaut	inlaut	وسيطي (في داخل الكلمة أو وسطها)
innate	inné	فطري
inner closure	occlusion ( fermiture) interne	انحباس داخلي
inner form	forme intern	النظام الباطني
innovation	innovation	-وضع مستأنف -طارئ
inordinated adjective	adjectif principal	نعت رئيسي
inorganic	non -original	غير أصلي
input	input	-داخل - وارد
inseparable affix	affixe non-séparable	زائدة لا تفصل
inserted clause	proposition incise	جملة معترضة
insiparation	insiparation	شهيق
instances of speech	instances du discours	تحصيل الكلام
instanciation	instanciation	البناء
instantaneous release	relâchement instantané	إطلاق فوري (في مقابل إطلاق مؤخر)
institutional linguistics	linguistique institutionnelle ; linguistique politique	اللسانيات السياسية
instrumental	instrumental	صيغة الاستعانة (حالة إعرابية)
instrumental phonetics	phonétique instrumentale	الصوتيات الاختبارية
instrumentative verb	verbe instrumental	فعل آلي (الذي يبين استخدام الآلة)
instrument of communication	instrument de communication	-آداة اتصال -أداة تبليغ
integration	intégration	إدماج
intensifier	adverbe de quantité	-صيغة تكثير -صيغة مبالغة
intension	1-sens (connotif ou dénotatif) 2-intension (sémantique)	1-المفهوم (في مقابل المصادق أو الذات) 2-المعنى المقصود
intensity	intensité	1-شدة الصوت  توتر العضلات
intensity accent	accent d’intensité	شدة النبر   نبر التوكيد
intensive language course	cours intensif de langue	-برنامج اللغة المكثفة -دروس لغة مكثفة
intensive prounoun	pronom d’intensité	-ضمير انعكاسي -ضمير الذات
interconsonantal	interconsonantique	ما بين الصوامت
interdental	interdental	-ما بين الأسنان -لثوي
interference	interférence	تداخل
interior language	langage intérieur	كلام النفس
interjected clause	incise	جملة معترضة
interjection	interjection	تعجب
interjectional théorie	théorie interjectionnelle	-نظرية التعجب (في أصل اللغات) -نظرية الأصوات
inter-language	interlingua ;interlangue	لغة اتصال دولي (بما فيها اللغات الاصطناعية)
interlinguistique	interlinguistique	دراسة العلاقات اللغوية
intermediate sound	son intermédiaire	صوت متوسط
intermediate structures	structure intermédiaires	مراتب التحويل
intermediate vowel	voyelle intermédiaire	مصوت متوسط
internal change	changement interne	تحول داخلي
internal hiatus	hiatus interne	التقاء داخلي لمصوتين
internal inflexion	inflexion interne	تصريف داخلي
internal loan	emprunt interne ; emprunt dialectal	دخيل لهجي
internal open juncture	jointure interne ouverte	وصل داخلي بالتراخي
internal punctuation mark	symbole interne de pounctuation	علامة الترقيم الداخلية
internal reconstruction	reconstruction interne	إعادة التركيب الداخلي
internal speech ;endophasia	endophasie	كلام باطني
international phonetic alphabet	alphaber phonétique international	ألفبائية صوتية عالمية
international words	mots internationaux	كلمات عالمية
interpretable	interprétable	يؤول
interpretative  component	composante interprétative	المقوم الحملي (في النحو التوليدي)
interpreter	interpréte	مترجم شفوي
interpreting	interprétariat	ترجمة شفوية
interro-emphatic	interro-emphatic	استفهام بالتقديم
interrogation mark	point d’intérrogation	علامة استفهام
intérrogative	interrogatif	استفهامي
interrogative adjective	adjectif interrogatif	صفة استفهامية
interrogative adverb	adverbe interrogatif	-قرينة استفهامية -أداة استفهام منفصلة
interrogative prounoun	pronom interrogatif	أداة استفهام منفصلة  خالفة استفهامية
interrogative sentence	phrase interrogative	جملة استفهامية
interrogative word	mot interrogatif	كلمة استفهامية
intero-negative	interro-négative	استفهام بالنفي
interrupted	interrupted	-حبسي  -آني (في مقابل ممتد)
interview	entrevue (enquête)  linguistique	مقابلة (لجمع المعلومات اللغوية)
intervocalic	intervocalique	بين المصوتين
intimacy	intimité	ألفة
initimate speech	langage intime	كلام استثنائي
intonation	intonation	1-تنغيم 2-نغمة الكلام (التغيرات التي تطرأ على درجة الصوت في الكلام المتصل)
intonation contour	contour de l’intonation courbe mélodique	منحى النغمة
intonation formant	formant de l’intonation	وحدة نغمية
intonation language	langue intonationnelle	لغة تنغيمية
intonation morpheme	intonéme	دالة تنغيمية
intonation pattern	courbe de l’intonation	نمط تنغيمي
intralanguage	intra-langue	داخل اللغة  (في تحليل الأخطاء)
intralinguistics feature	traits intralinguistique	صفات داخلية في اللغة
intraverbe verb	verbe intransitif	فعل لازم
interoductory adverb	conjonction adverbiale	-ظرف ممهد (لربط الجمل) -عطف قريني
interflexion	fléxion interne	تصريف داخلي
intrusion	intrusion	إقحام
intrusive R	R-intru	الراء المقحمة
intuition	intuition	وجدان (لغوي)
invariable word	mot invariable ; mot indéclinable	كلمة غير منصرفة
invariant	invariant	ثابت
inverse derivation	dérivation regressive	اشتقاق بالحذف
inverse spelling	orthographe inverse	تصحيح كتابي مغلوط
inversion	inversion	التقديم والتاخير (في كلم)  قلب مكاني   (في الأصوات)
inverted	inverti	مقلوب  متقعس (المخرج)
inverted commas	guillement	علامتا الاقتباس
inverted sound	son inverti ;son rétroflexe	مخرج تقعيسي
inverted word order	ordre inverti des mots	كلمات مقلوبة الترتيب
irradiation	irradiation	إشعاع (تاثير الأصل على معنى لاحق)
irregular	irrégulier	شاذ
irregularity	irrégularité	شذوذ
irregular verb	verbe irrégulier	فعل شاذ
irrelevant	non-partient	غير معتبر
irrelevant	non-pertient	تمثال زمني
isochronism	isochronisme	متساوي الفواصل (او الأجزاء)
isocolon	isocolon	متحد المؤدى (او المجرى أو الوظيفة)
isofunctional	isofonctionnel	بين لغوي (جون بيون)
isoloss ;isograph ;isolex	isoglosse	خط فاصل للهجات
isolate	1-mot-phrase 2-segement	جملة مفردة (كلمة تقوم مقام الجملة)  حرف مفرد
isolated area	aire isolée ;région isolée	منطقة معزولة
isolated opposition	opposition isolée	تقابل منفرد
isolating language	langue isolante	لغة عازلة
isolative sound change	changement phonématique isolé	تغير صوتي منعزل
isomorph	ismorphe	نظير (في البناء)
ismorphic line	ligne ismorphique	خط بيني تصريفي  (جامع أو حاصر لنظائر صرفية في الخارطة اللغوية)
ismorphism	ismorphisme	توافق البنية
isophone	isophone	بين صوتي (فاصل في نظام النطق)
isophonic line	ligne isophonique (d’isoglosse)	خط بين صوتي
isopleth	1-isoglesse  2-frontiére culturelle  (flokore)	بين لغوي ثقافي
isosyllabism	isosyllabisme	تساو زمني للمقاطع
isosyntagmic line	isosyntagmique ; ligne isosyntagmique	بين تركيبي  (خط فاصل في نظام الجملة)
isotonic line	ligne isotonique	بين تنغيمي (خط فاصل في نظام النغمة)
item	item	-عنصر لغة  -نحو (ضرب من الكلام)
item analysis	analyse par item	تحليل إلى عناصر
item-and-arrangement	item et arrangement	العنصر وانتظامه  (منهج تحليلي)
item –and-process	item et traitement ;item et processus	العنصر ومجاريه (منهج في التحليل اللغوي)
iterative aspect	aspect itératif	صيغة التكرار
iterative compound	composé itératif	مركب تكراري
iterative numeral	numéral intératif	عدد تكراري بالمضاعفة
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
jargon	jargon	رطانة
jargon aphasia	jargon aphasie	رطانة حبسية
jaw	mâchoire	فك
journalse	langue des journeaux ;style journalistique	أسلوب الصحافة
juncture	jonction	وصل  اتصال
jung grammatiker	nouveau grammarien	(مدرسة )  النحويين المحدثين
jussive mood	jussif	صيغة الأمر
juxposted compound	composé juxtaposé	تركيب انضمامي
juxtaposing language	langue à  juxtaposition	لغة انضمامية
